city,country,event_time,temperature,humidity,wind_speed,pressure,weather_condition,rainfall,station_id,data_provider
Chennai,India,2026-03-01 00:00:00,36.4,84,18.7,1005.4,Foggy,7.3,STN_CHN_02,AtmosAPI
Bangalore,India,2026-03-01 00:00:00,24.3,56,11.6,904.2,Partly Cloudy,0.9,STN_BLR_02,ClimaData
Hyderabad,India,2026-03-01 00:00:00,29.7,68,7.2,1002.8,Rainy,5.7,STN_HYD_01,SkyWatch
Mumbai,India,2026-03-01 00:00:00,30.9,84,19.6,1009.6,Foggy,9.5,STN_MUM_02,WeatherPro
Delhi,India,2026-03-01 00:00:00,38.9,52,27.9,996.4,Partly Cloudy,3.2,STN_DEL_01,AtmosAPI
Pune,India,2026-03-01 00:00:00,33.6,60,9.4,944.9,Partly Cloudy,0.8,STN_PNE_01,ClimaData
Chennai,India,2026-03-01 01:00:00,36.0,64,17.6,1009.5,Clear,14.9,STN_CHN_02,WeatherPro
Bangalore,India,2026-03-01 01:00:00,23.6,59,14.2,908.2,Partly Cloudy,9.2,STN_BLR_01,SkyWatch
Hyderabad,India,2026-03-01 01:00:00,31.7,64,18.8,994.8,Cloudy,3.5,STN_HYD_01,ClimaData
Mumbai,India,2026-03-01 01:00:00,27.3,86,13.9,1008.6,Haze,15.2,STN_MUM_01,WeatherPro
Delhi,India,2026-03-01 01:00:00,39.7,63,22.5,1007.4,Haze,3.1,STN_DEL_02,ClimaData
Pune,India,2026-03-01 01:00:00,33.9,78,15.5,952.4,Thunderstorm,7.0,STN_PNE_02,AtmosAPI
Chennai,India,2026-03-01 02:00:00,34.6,82,19.0,1012.9,Clear,4.9,STN_CHN_01,AtmosAPI
Bangalore,India,2026-03-01 02:00:00,27.0,60,16.0,903.6,Haze,2.7,STN_BLR_01,SkyWatch
Hyderabad,India,2026-03-01 02:00:00,36.9,55,12.8,990.9,Partly Cloudy,1.8,STN_HYD_01,WeatherPro
Mumbai,India,2026-03-01 02:00:00,34.4,85,23.7,1012.3,Haze,1.5,STN_MUM_01,ClimaData
Delhi,India,2026-03-01 02:00:00,34.7,53,8.0,996.4,Partly Cloudy,7.8,STN_DEL_01,WeatherPro
Pune,India,2026-03-01 02:00:00,24.7,55,16.1,947.2,Haze,9.6,STN_PNE_01,AtmosAPI
Chennai,India,2026-03-01 03:00:00,34.2,68,8.8,1005.7,Rainy,5.3,STN_CHN_01,WeatherPro
Bangalore,India,2026-03-01 03:00:00,26.0,51,12.8,910.5,Thunderstorm,2.0,STN_BLR_02,AtmosAPI
Hyderabad,India,2026-03-01 03:00:00,37.6,63,8.7,1000.1,Partly Cloudy,0.7,STN_HYD_01,ClimaData
