city,country,event_time,temperature,humidity,wind_speed,pressure,weather_condition,rainfall,station_id,data_provider,uv_index,visibility
Chennai,India,2026-03-03 00:00:00,36.4,83,19.6,1007.9,Haze,1.5,STN_CHN_02,AtmosAPI,3.6,12.2
Bangalore,India,2026-03-03 00:00:00,27.6,66,15.7,912.0,Clear,0.4,STN_BLR_01,AtmosAPI,10.7,14.4
Hyderabad,India,2026-03-03 00:00:00,38.3,58,12.2,1004.7,Clear,3.8,STN_HYD_01,AtmosAPI,1.9,7.1
Mumbai,India,2026-03-03 00:00:00,32.2,72,10.7,1011.3,Clear,0.9,STN_MUM_02,AtmosAPI,2.3,11.5
Delhi,India,2026-03-03 00:00:00,28.2,47,27.3,1009.3,Foggy,0.4,STN_DEL_02,AtmosAPI,9.8,3.9
Pune,India,2026-03-03 00:00:00,35.2,54,15.0,948.8,Cloudy,10.0,STN_PNE_02,AtmosAPI,3.9,5.3
Chennai,India,2026-03-03 01:00:00,32.0,60,18.4,1013.6,Foggy,11.6,STN_CHN_01,AtmosAPI,9.8,10.3
Bangalore,India,2026-03-03 01:00:00,21.9,54,15.8,907.6,Clear,9.5,STN_BLR_01,AtmosAPI,8.4,6.2
Hyderabad,India,2026-03-03 01:00:00,27.2,63,18.0,991.3,Cloudy,3.0,STN_HYD_02,AtmosAPI,7.8,8.1
Mumbai,India,2026-03-03 01:00:00,31.7,67,14.7,1011.1,Thunderstorm,10.8,STN_MUM_02,AtmosAPI,6.2,13.8
Delhi,India,2026-03-03 01:00:00,25.0,47,25.7,1002.7,Cloudy,7.0,STN_DEL_01,AtmosAPI,2.6,7.0
Pune,India,2026-03-03 01:00:00,29.9,71,7.0,944.0,Rainy,4.2,STN_PNE_02,AtmosAPI,5.0,12.6
Chennai,India,2026-03-03 02:00:00,35.4,79,13.6,1008.5,Partly Cloudy,7.5,STN_CHN_02,AtmosAPI,8.8,6.8
Bangalore,India,2026-03-03 02:00:00,29.5,50,8.2,901.2,Clear,3.7,STN_BLR_01,AtmosAPI,6.5,8.7
Hyderabad,India,2026-03-03 02:00:00,26.7,46,15.1,990.6,Rainy,2.2,STN_HYD_02,AtmosAPI,5.9,11.8
Mumbai,India,2026-03-03 02:00:00,34.9,78,10.0,1013.2,Cloudy,13.1,STN_MUM_02,AtmosAPI,8.4,13.5
Delhi,India,2026-03-03 02:00:00,36.4,62,25.6,1005.9,Clear,6.1,STN_DEL_02,AtmosAPI,6.3,15.0
Pune,India,2026-03-03 02:00:00,24.3,62,15.7,950.3,Foggy,5.8,STN_PNE_01,AtmosAPI,8.1,15.0
Chennai,India,2026-03-03 03:00:00,34.0,81,10.1,1009.4,Foggy,4.9,STN_CHN_02,AtmosAPI,6.7,13.2
Bangalore,India,2026-03-03 03:00:00,27.5,66,10.6,903.6,Thunderstorm,3.0,STN_BLR_01,AtmosAPI,3.5,5.1
Hyderabad,India,2026-03-03 03:00:00,33.8,56,21.1,993.6,Rainy,7.5,STN_HYD_01,AtmosAPI,4.2,3.9
Mumbai,India,2026-03-03 03:00:00,33.8,82,12.6,1013.6,Foggy,2.3,STN_MUM_02,AtmosAPI,5.8,11.0
Delhi,India,2026-03-03 03:00:00,34.6,54,11.2,1007.0,Foggy,4.0,STN_DEL_01,AtmosAPI,3.9,5.6
Pune,India,2026-03-03 03:00:00,24.8,77,11.7,951.0,Clear,2.3,STN_PNE_01,AtmosAPI,7.0,4.1
Chennai,India,2026-03-03 04:00:00,33.6,62,11.0,1007.9,Thunderstorm,6.3,STN_CHN_02,AtmosAPI,9.5,11.7
Bangalore,India,2026-03-03 04:00:00,28.4,72,10.0,913.0,Clear,8.9,STN_BLR_02,AtmosAPI,10.8,11.9
Hyderabad,India,2026-03-03 04:00:00,34.2,62,13.0,998.2,Thunderstorm,10.2,STN_HYD_02,AtmosAPI,4.7,14.3
Mumbai,India,2026-03-03 04:00:00,27.8,67,24.9,1014.3,Clear,10.1,STN_MUM_01,AtmosAPI,9.5,9.6
Delhi,India,2026-03-03 04:00:00,28.9,58,25.4,1009.9,Foggy,1.9,STN_DEL_01,AtmosAPI,8.9,12.7
Pune,India,2026-03-03 04:00:00,32.2,52,17.4,953.1,Haze,1.5,STN_PNE_01,AtmosAPI,3.8,4.1
Chennai,India,2026-03-03 05:00:00,29.8,67,9.6,1013.8,Rainy,7.4,STN_CHN_02,AtmosAPI,2.5,10.0
Bangalore,India,2026-03-03 05:00:00,22.5,54,16.7,910.0,Cloudy,2.0,STN_BLR_01,AtmosAPI,4.5,10.6
Hyderabad,India,2026-03-03 05:00:00,35.2,69,19.0,994.1,Haze,8.4,STN_HYD_02,AtmosAPI,8.9,11.6
Mumbai,India,2026-03-03 05:00:00,27.0,69,22.4,1013.9,Haze,0.1,STN_MUM_01,AtmosAPI,2.5,9.0
Delhi,India,2026-03-03 05:00:00,32.6,65,10.5,997.6,Rainy,5.3,STN_DEL_02,AtmosAPI,3.3,10.4
