city,country,event_time,temperature,humidity,wind_speed,pressure,condition,rainfall,station_id,data_provider,uv_index,visibility
Chennai,India,2026-03-04 00:00:00,33.2,69,13.3,1010.3,Thunderstorm,10.1,STN_CHN_02,ClimaData,10.9,11.8
Bangalore,India,2026-03-04 00:00:00,31.1,50,7.8,913.6,Thunderstorm,7.5,STN_BLR_02,ClimaData,5.3,11.6
Hyderabad,India,2026-03-04 00:00:00,37.8,66,8.1,1004.5,Thunderstorm,2.3,STN_HYD_01,ClimaData,7.2,14.0
Mumbai,India,2026-03-04 00:00:00,27.7,73,17.5,1012.0,Foggy,17.1,STN_MUM_02,ClimaData,2.2,14.2
Delhi,India,2026-03-04 00:00:00,31.1,40,7.9,1009.1,Foggy,0.3,STN_DEL_01,ClimaData,8.9,11.4
Pune,India,2026-03-04 00:00:00,34.4,68,7.9,948.4,Haze,4.3,STN_PNE_01,ClimaData,2.0,8.3
Chennai,India,2026-03-04 01:00:00,31.4,76,10.4,1007.2,Foggy,8.6,STN_CHN_02,ClimaData,2.0,7.4
Bangalore,India,2026-03-04 01:00:00,31.9,73,16.8,914.1,Cloudy,1.8,STN_BLR_02,ClimaData,3.8,10.8
Hyderabad,India,2026-03-04 01:00:00,27.5,67,11.4,991.5,Clear,4.8,STN_HYD_01,ClimaData,2.9,7.7
Mumbai,India,2026-03-04 01:00:00,29.2,75,23.9,1012.7,Rainy,1.3,STN_MUM_02,ClimaData,4.0,7.0
Delhi,India,2026-03-04 01:00:00,37.0,46,13.3,1009.7,Foggy,2.2,STN_DEL_02,ClimaData,1.1,12.6
Pune,India,2026-03-04 01:00:00,30.8,77,8.0,948.4,Foggy,4.1,STN_PNE_02,ClimaData,9.4,11.0
Chennai,India,2026-03-04 02:00:00,35.9,68,13.6,1005.3,Partly Cloudy,0.4,STN_CHN_02,ClimaData,9.1,3.7
Bangalore,India,2026-03-04 02:00:00,29.8,60,8.9,902.3,Partly Cloudy,4.4,STN_BLR_02,ClimaData,10.1,7.4
Hyderabad,India,2026-03-04 02:00:00,25.4,50,21.2,1002.1,Cloudy,0.9,STN_HYD_02,ClimaData,9.7,14.0
Mumbai,India,2026-03-04 02:00:00,32.8,69,23.6,1014.6,Rainy,2.6,STN_MUM_02,ClimaData,10.8,4.2
Delhi,India,2026-03-04 02:00:00,23.7,42,7.8,1002.2,Haze,7.8,STN_DEL_01,ClimaData,1.3,13.1
Pune,India,2026-03-04 02:00:00,26.6,61,14.3,946.6,Foggy,9.0,STN_PNE_01,ClimaData,4.1,7.8
Chennai,India,2026-03-04 03:00:00,37.1,67,18.5,1012.4,Thunderstorm,0.2,STN_CHN_02,ClimaData,10.9,12.4
Bangalore,India,2026-03-04 03:00:00,29.7,56,17.4,908.4,Rainy,8.0,STN_BLR_01,ClimaData,8.3,5.7
Hyderabad,India,2026-03-04 03:00:00,37.1,48,11.6,995.7,Rainy,9.7,STN_HYD_01,ClimaData,9.7,2.4
Mumbai,India,2026-03-04 03:00:00,35.6,67,22.3,1015.4,Thunderstorm,1.6,STN_MUM_01,ClimaData,6.4,4.8
Delhi,India,2026-03-04 03:00:00,37.6,52,22.9,1006.9,Partly Cloudy,1.4,STN_DEL_01,ClimaData,8.7,9.6
Pune,India,2026-03-04 03:00:00,22.7,64,16.9,943.2,Clear,5.9,STN_PNE_01,ClimaData,7.5,9.7
Chennai,India,2026-03-04 04:00:00,29.7,84,15.9,1010.2,Foggy,11.1,STN_CHN_01,ClimaData,2.5,13.0
Bangalore,India,2026-03-04 04:00:00,29.7,50,16.5,909.3,Haze,3.1,STN_BLR_01,ClimaData,6.8,2.2
Hyderabad,India,2026-03-04 04:00:00,31.2,47,11.3,994.2,Partly Cloudy,4.2,STN_HYD_01,ClimaData,4.0,3.9
Mumbai,India,2026-03-04 04:00:00,27.3,65,22.6,1012.8,Partly Cloudy,8.0,STN_MUM_02,ClimaData,3.3,7.6
Delhi,India,2026-03-04 04:00:00,31.8,61,5.1,1005.3,Thunderstorm,4.3,STN_DEL_01,ClimaData,7.7,12.4
Pune,India,2026-03-04 04:00:00,23.8,62,14.4,951.0,Haze,6.6,STN_PNE_01,ClimaData,9.7,7.1
Chennai,India,2026-03-04 05:00:00,36.2,65,18.1,1005.3,Rainy,9.5,STN_CHN_01,ClimaData,10.2,12.6
Bangalore,India,2026-03-04 05:00:00,27.2,71,5.4,907.4,Haze,0.5,STN_BLR_01,ClimaData,4.4,11.5
Hyderabad,India,2026-03-04 05:00:00,33.5,51,6.6,991.8,Partly Cloudy,3.9,STN_HYD_02,ClimaData,8.9,4.3
Mumbai,India,2026-03-04 05:00:00,33.5,73,10.8,1011.1,Partly Cloudy,2.2,STN_MUM_02,ClimaData,2.6,6.9
Delhi,India,2026-03-04 05:00:00,26.7,59,14.7,1003.4,Thunderstorm,7.1,STN_DEL_02,ClimaData,10.2,10.4
Pune,India,2026-03-04 05:00:00,29.3,56,13.2,947.3,Foggy,8.7,STN_PNE_01,ClimaData,2.5,4.1
Chennai,India,2026-03-04 06:00:00,28.3,63,9.6,1014.6,Foggy,9.3,STN_CHN_01,ClimaData,6.5,5.3
Bangalore,India,2026-03-04 06:00:00,29.2,61,6.8,907.7,Haze,4.4,STN_BLR_02,ClimaData,8.8,13.2
Hyderabad,India,2026-03-04 06:00:00,36.6,69,10.0,994.0,Rainy,8.0,STN_HYD_02,ClimaData,5.9,12.8
Mumbai,India,2026-03-04 06:00:00,27.5,73,20.5,1010.9,Cloudy,18.3,STN_MUM_01,ClimaData,3.4,12.8
Delhi,India,2026-03-04 06:00:00,25.9,47,8.0,1009.8,Haze,1.4,STN_DEL_02,ClimaData,10.0,2.3
Pune,India,2026-03-04 06:00:00,29.5,51,13.5,950.3,Rainy,9.7,STN_PNE_01,ClimaData,6.1,11.6
Chennai,India,2026-03-04 07:00:00,37.0,63,14.0,1009.2,Foggy,5.3,STN_CHN_01,ClimaData,9.0,5.7
Bangalore,India,2026-03-04 07:00:00,30.2,73,14.9,902.6,Rainy,2.5,STN_BLR_01,ClimaData,1.8,12.4
Hyderabad,India,2026-03-04 07:00:00,30.4,53,20.9,1003.9,Clear,9.5,STN_HYD_01,ClimaData,5.6,10.2
Mumbai,India,2026-03-04 07:00:00,31.6,67,24.0,1011.7,Partly Cloudy,9.6,STN_MUM_02,ClimaData,5.8,5.7
Delhi,India,2026-03-04 07:00:00,30.6,60,6.7,1003.9,Clear,6.1,STN_DEL_02,ClimaData,3.3,10.1
Pune,India,2026-03-04 07:00:00,28.0,70,19.3,954.4,Foggy,10.9,STN_PNE_01,ClimaData,5.0,11.6
Chennai,India,2026-03-04 08:00:00,33.2,67,18.6,1007.5,Haze,9.8,STN_CHN_01,ClimaData,6.4,3.9
Bangalore,India,2026-03-04 08:00:00,24.3,66,8.2,911.7,Foggy,6.0,STN_BLR_01,ClimaData,10.7,4.4
Hyderabad,India,2026-03-04 08:00:00,34.9,45,11.4,991.5,Rainy,7.3,STN_HYD_01,ClimaData,2.0,11.7
Mumbai,India,2026-03-04 08:00:00,32.1,68,21.0,1011.8,Foggy,14.0,STN_MUM_02,ClimaData,3.9,13.5
Delhi,India,2026-03-04 08:00:00,23.9,36,20.8,1001.1,Foggy,5.7,STN_DEL_01,ClimaData,10.9,13.8
Pune,India,2026-03-04 08:00:00,25.6,75,16.4,953.5,Partly Cloudy,9.9,STN_PNE_01,ClimaData,1.4,3.3
Chennai,India,2026-03-04 09:00:00,37.3,68,19.9,1008.3,Thunderstorm,0.3,STN_CHN_02,ClimaData,7.4,12.6
Bangalore,India,2026-03-04 09:00:00,28.8,61,16.8,910.8,Cloudy,0.2,STN_BLR_02,ClimaData,5.0,9.8
Hyderabad,India,2026-03-04 09:00:00,33.2,48,11.0,996.5,Clear,10.0,STN_HYD_01,ClimaData,7.6,9.2
Mumbai,India,2026-03-04 09:00:00,35.7,89,19.8,1009.9,Foggy,1.7,STN_MUM_01,ClimaData,7.7,6.1
Delhi,India,2026-03-04 09:00:00,35.3,55,12.2,996.0,Rainy,5.1,STN_DEL_02,ClimaData,3.1,11.4
Pune,India,2026-03-04 09:00:00,28.3,55,18.1,942.5,Haze,10.9,STN_PNE_01,ClimaData,4.7,2.7
Chennai,India,2026-03-04 10:00:00,30.2,67,14.0,1008.1,Partly Cloudy,5.6,STN_CHN_02,ClimaData,10.9,12.0
Bangalore,India,2026-03-04 10:00:00,26.0,69,11.6,912.6,Clear,2.4,STN_BLR_01,ClimaData,10.6,3.3
Hyderabad,India,2026-03-04 10:00:00,26.6,64,15.0,998.8,Haze,9.6,STN_HYD_02,ClimaData,5.5,7.8
Mumbai,India,2026-03-04 10:00:00,27.1,84,21.4,1012.2,Rainy,14.1,STN_MUM_01,ClimaData,2.3,5.9
Delhi,India,2026-03-04 10:00:00,28.2,47,19.9,1006.4,Thunderstorm,4.6,STN_DEL_01,ClimaData,10.3,5.4
Pune,India,2026-03-04 10:00:00,31.3,73,7.7,944.7,Haze,11.7,STN_PNE_02,ClimaData,5.5,3.3
Chennai,India,2026-03-04 11:00:00,33.9,69,11.9,1005.8,Thunderstorm,13.0,STN_CHN_01,ClimaData,9.1,12.9
Bangalore,India,2026-03-04 11:00:00,32.0,60,15.8,901.6,Cloudy,5.7,STN_BLR_01,ClimaData,10.4,2.2
Hyderabad,India,2026-03-04 11:00:00,29.7,59,7.8,1000.0,Clear,6.0,STN_HYD_01,ClimaData,3.7,13.8
